category,mean_star_rating,n_reviews
Digital_Music_Purchase_v1_00,4.642767218550726,1681573
Camera_v1_00,4.126985272804609,1800886
Electronics_v1_00,4.035419072091742,3091103
Mobile_Electronics_v1_00,3.76316140846145,104852
Software_v1_00,3.566607668233446,341252
